day,contact_language,incoming,backlog_start_of_the_day,backlog24hrs_start_of_the_day,head_sla
2023-05-14,fr,219,636,536,0.8904109589041096
2023-05-14,it,87,126,88,0.9885057471264368
2023-05-15,de,1688,1045,783,0.9135071090047393
2023-05-15,en,1327,424,344,0.9804069329314242
2023-05-15,es,344,136,99,0.872093023255814
2023-05-15,fr,830,575,495,0.9397590361445783
2023-05-15,it,296,95,86,0.9695945945945946
2023-05-16,de,1823,882,406,0.9539221064179924
2023-05-16,en,1335,535,277,0.9835205992509364
2023-05-16,es,316,168,54,0.7310126582278481
2023-05-16,fr,748,604,402,0.8810160427807486
2023-05-16,it,234,105,47,0.905982905982906
2023-05-17,de,1556,857,427,0.7589974293059126
2023-05-17,en,1169,499,277,0.9076133447390933
2023-05-17,es,391,227,79,0.6547314578005116
2023-05-17,fr,692,667,431,0.8439306358381503
2023-05-17,it,217,134,51,0.8525345622119815
2023-05-18,de,909,916,446,0.7942794279427943
2023-05-18,en,859,598,284,0.9429569266589057
2023-05-18,es,254,351,123,0.6692913385826772
2023-05-18,fr,422,673,455,0.9383886255924171
2023-05-18,it,175,102,45,0.92
2023-05-19,de,1164,1146,744,0.8780068728522337
2023-05-19,en,972,509,347,0.9670781893004116
2023-05-19,es,334,353,193,0.6377245508982036
2023-05-19,fr,570,566,477,0.8070175438596491
2023-05-19,it,250,116,64,0.924
2023-05-20,de,607,803,507,0.7199341021416804
2023-05-20,en,406,456,290,0.9088669950738916
2023-05-20,es,135,338,150,0.7333333333333333
2023-05-20,fr,264,663,461,0.7992424242424242
2023-05-20,it,172,119,46,0.936046511627907
2023-05-21,de,429,757,491,0.9324009324009324
2023-05-21,en,333,382,279,0.972972972972973
2023-05-21,es,105,275,199,0.819047619047619
2023-05-21,fr,271,658,532,0.9114391143911439
2023-05-21,it,82,76,42,0.975609756097561
2023-05-22,de,1752,642,487,0.9377853881278538
2023-05-22,en,1069,347,278,0.9672591206735267
2023-05-22,es,413,167,112,0.8595641646489104
2023-05-22,fr,758,627,520,0.9182058047493403
2023-05-22,it,247,63,39,0.951417004048583
2023-05-23,de,1577,652,349,0.9391249207355739
2023-05-23,en,1331,477,266,0.9646882043576258
2023-05-23,es,421,195,82,0.5843230403800475
2023-05-23,fr,722,730,510,0.8587257617728532
2023-05-23,it,332,90,38,0.9578313253012049
